id,name,rating,syngergy
447235,Graveyard Marshal,3.5,Sacrifice
447236,Hired Blade,2.5,
447237,Infectious Horror,1,
447238,Infernal Reckoning,0,
447239,Infernal Scarring,1,Sacrifice
447240,Isareth the Awakener,4,Sacrifice
447241,Lich's Caress,3.5,
447242,"Liliana, Untouched by Death",3.5,
447243,Liliana's Contract,3,
447244,Macabre Waltz,1.5,Sacrifice
447245,Mind Rot,1.5,
447246,Murder,4,
447247,Nightmare's Thirst,3,Lifegain
447248,Open the Graves,3,Sacrifice
447249,Phylactery Lich,1.5,
447250,Plague Mare,3,
447251,Ravenous Harpy,2.5,Sacrifice
447252,Reassembling Skeleton,2.5,Sacrifice
447253,Rise from the Grave,3,Sacrifice
447254,Skeleton Archer,3,
447255,Skymarch Bloodletter,3,Lifegain
447256,Sovereign's Bite,0.5,
447257,Stitcher's Supplier,1,
447258,Strangling Spores,3.5,
447259,Two-Headed Zombie,2,
447260,Vampire Neonate,1.5,Lifegain
447261,Vampire Sovereign,3.5,Lifegain
447262,Walking Corpse,1,
447263,Act of Treason,2,
447264,Alpine Moon,0,
447265,Apex of Power,0.5,
447266,Banefire,4.5,
447267,Boggart Brute,2.5,
447268,Catalyst Elemental,0.5,Sacrifice
447269,Crash Through,1,
447270,Dark-Dweller Oracle,3,Sacrifice
447271,Demanding Dragon,4,Dragon
447272,Dismissive Pyromancer,3.5,Sacrifice
447273,Doublecast,1,
447274,Dragon Egg,2,Dragon
447275,Electrify,3.5,
447276,Fiery Finish,2,
447277,Fire Elemental,1,
447278,Goblin Instigator,2.5,
447279,Goblin Motivator,1.5,
447280,Goblin Trashmaster,3,
447281,Guttersnipe,3,
447282,Havoc Devils,2,
447283,Hostile Minotaur,1.5,
447284,Inferno Hellion,2,
447285,"Lathliss, Dragon Queen",4,Dragon
447286,Lava Axe,1,
447287,Lightning Mare,2.5,
447288,Lightning Strike,4,
447289,Onakke Ogre,1,
447290,"Sarkhan, Fireblood",3.5,Dragon
447291,Sarkhan's Unsealing,3,
447292,Shock,3.5,
447293,Siegebreaker Giant,2,
447294,Smelt,0,
447295,Sparktongue Dragon,3,Dragon
447296,Spit Flame,3.5,Dragon
447297,Sure Strike,2,
447298,Tectonic Rift,0,
447299,Thud,1.5,Sacrifice
447300,Tormenting Voice,1.5,
447301,Trumpet Blast,1,
447302,Viashino Pyromancer,3,
447303,Volcanic Dragon,3.5,Dragon
447304,Volley Veteran,3,
447305,Blanchwood Armor,2,
447306,Bristling Boar,2.5,
447307,Centaur Courser,1.5,
447308,Colossal Dreadmaw,3,
447309,Colossal Majesty,2,
447310,Daggerback Basilisk,2.5,
447311,Declare Dominance,3,
447312,Druid of Horns,2,
447313,Druid of the Cowl,3,
447314,Dryad Greenseeker,3.5,
447315,Elvish Clancaller,1.5,
447316,Elvish Rejuvenator,3,
447317,Ghastbark Twins,3,
447318,Ghirapur Guide,2,
447319,Giant Spider,2.5,
447320,Gift of Paradise,1.5,
447321,Gigantosaurus,1.5,
447322,"Goreclaw, Terror of Qal Sisma",4,
447323,Greenwood Sentinel,1.5,
447324,Highland Game,1,
447325,Hungering Hydra,4,
447326,Naturalize,0,
447327,Oakenform,1.5,
447328,Pelakka Wurm,3.5,
447329,Plummet,1.5,
447330,Prodigious Growth,3.5,
447331,Rabid Bite,3.5,
447332,Reclamation Sage,2.5,
447333,Recollect,1,
447334,Rhox Oracle,2,
447335,Root Snare,0,
447336,Runic Armasaur,3.5,
447337,Scapeshift,1,
447338,Talons of Wildwood,1.5,
447339,Thorn Lieutenant,3.5,
447340,Thornhide Wolves,2,
447341,Titanic Growth,2.5,
447342,Vigilant Baloth,3,
447343,Vine Mare,3.5,
447344,Vivien Reid,4.5,
447345,Vivien's Invocation,3,
447346,Wall of Vines,1,
447347,Aerial Engineer,3,Artifact
447348,"Arcades, the Strategist",3,
447349,Brawl-Bash Ogre,2.5,Sacrifice
447350,"Chromium, the Mutable",3.5,
447351,Draconic Disciple,3,Dragon
447352,Enigma Drake,3,
447353,Heroic Reinforcements,3.5,
447354,"Nicol Bolas, the Ravager // Nicol Bolas, the Arisen",4.5,Dragon
447356,"Palladia-Mors, the Ruiner",3.5,Dragon
447357,Poison-Tip Archer,3.5,
447358,Psychic Symbiont,3,
447359,Regal Bloodlord,3.5,Lifegain
447360,Satyr Enchanter,2.5,
447361,Skyrider Patrol,3.5,
447362,"Vaevictis Asmadi, the Dire",3.5,
447363,Amulet of Safekeeping,1,Artifact
447364,Arcane Encyclopedia,2,Artifact
447365,Chaos Wand,3,Artifact
447366,Crucible of Worlds,0,Artifact
447367,Desecrated Tomb,1,Artifact
447368,Diamond Mare,2.5,Artifact
447369,Dragon's Hoard,2,Dragon
447370,Explosive Apparatus,1.5,Artifact
447371,Field Creeper,1,Artifact
447372,Fountain of Renewal,2,Lifegain
447373,Gargoyle Sentinel,1.5,Artifact
447374,Gearsmith Guardian,1.5,Artifact
447375,Magistrate's Scepter,1,Artifact
447376,Manalith,1,Artifact
447377,Marauder's Axe,2,Artifact
447378,Meteor Golem,3.5,Artifact
447379,Millstone,0,Artifact
447380,Rogue's Gloves,2.5,Artifact
447381,Sigiled Sword of Valeron,4,Artifact
447382,Skyscanner,3,Artifact
447383,Suspicious Bookcase,1.5,Artifact
447384,Transmogrifying Wand,3,Artifact
447385,Cinder Barrens,2.5,
447386,Detection Tower,0.5,
447387,Forsaken Sanctuary,2.5,
447388,Foul Orchard,2.5,
447389,Highland Lake,2.5,
447390,Meandering River,2.5,
447391,Reliquary Tower,0,
447392,Rupture Spire,1.5,
447393,Stone Quarry,2.5,
447394,Submerged Boneyard,2.5,
447395,Timber Gorge,2.5,
447396,Tranquil Expanse,2.5,
447397,Woodland Stream,2.5,
,,,
